Batch_ID,Brew_Date,Beer_Style,SKU,Location,Fermentation_Time,Temperature,pH_Level,Gravity,Alcohol_Content,Bitterness,Color,Ingredient_Ratio,Volume_Produced,Total_Sales,Quality_Score,Brewhouse_Efficiency,Loss_During_Brewing,Loss_During_Fermentation,Loss_During_Bottling_Kegging
488665,2020-01-16 05:47:29,Ale,Kegs,Yelahanka,19,18.39615516838841,5.255759550998649,1.0651228733063065,5.404355597403427,46,5,1:0.21:0.29,637,13465.585656228905,8.479407132158848,82.75599028012579,4.567288810347878,1.9658880216256889,3.7402794113519295
3142421,2020-01-30 04:44:26,Porter,Cans,Koramangala,10,22.22212038479905,5.019583524079289,1.0472285421009926,4.866237382491417,53,10,1:0.31:0.13,1593,10710.181806625736,8.8110203213797,82.46905640188939,1.055675923541345,1.1184948138654565,3.181916217874725
1096682,2020-01-21 11:31:01,Pilsner,Pints,Koramangala,12,20.0885379704183,5.168975413513005,1.0575477783685403,5.712302390344142,39,11,1:0.28:0.24,1812,12729.896143438462,7.708842576365588,81.30723901472568,4.504989566373943,3.752275096740448,4.087624884099692
2461171,2020-01-20 09:55:08,IPA,Kegs,Electronic City,16,15.826234767388335,4.59129595160271,1.0601315036333487,4.641899905303101,45,5,1:0.27:0.13,511,11678.150518823142,6.257548776409354,81.03673490563432,2.444202608702321,2.03110425101901,1.8653223344518837
4050230,2020-02-29 18:00:41,Porter,Kegs,Jayanagar,15,17.80016651279804,4.874864632260525,1.0580092717380838,4.5196241690233405,45,9,1:0.47:0.15,1752,14155.713792641942,8.439859416769412,78.12506101958232,3.4050844947423777,4.148101129856097,2.552045857188423
4898107,2020-01-24 20:30:47,Ale,Cans,Malleswaram,16,19.333589184714626,4.530649051184328,1.0623614773565564,4.748964619552827,46,9,1:0.27:0.12,706,7523.300609236698,9.271191528542658,81.62960089609999,4.345945821693765,1.195612693460944,1.0170683515038967
5245484,2020-02-01 12:33:05,Lager,Cans,Electronic City,16,22.83089167743063,5.25073163850262,1.049778698343364,5.052216578454675,40,9,1:0.27:0.28,3006,13937.924240064352,8.014288531766695,74.45107988469962,2.077192876506833,1.4447783960465044,2.0642896352030515
2411104,2020-03-05 15:33:34,IPA,Bottles,Electronic City,17,17.73192060238915,4.947996692107526,1.0397114950951958,5.350167117220731,57,11,1:0.22:0.17,2861,13687.176541985044,9.77154791814594,82.62350496974216,2.8811454248777824,1.9129520111710696,2.451963295752829
8113747,2020-01-02 00:14:54,IPA,Bottles,Koramangala,11,24.609435857872803,4.985278455385979,1.0465908591745126,5.936808260976991,48,19,1:0.22:0.13,1226,1685.083119381449,8.534299001697203,70.86107924251667,2.969179811503469,1.2242209987977133,4.107359626623502
9119705,2020-02-25 21:04:24,Porter,Pints,Electronic City,16,20.23595345348375,5.026276932814588,1.0574286275766516,4.839602000042399,58,16,1:0.45:0.28,4889,1996.9162063817216,8.244464679461455,77.47197111292151,3.0287606528600164,1.5698926285906754,4.872115473638019
2495037,2020-03-10 00:43:56,Porter,Cans,Indiranagar,19,18.146887886452188,4.959143026412331,1.0746151126113188,4.79483100927405,22,14,1:0.45:0.15,4178,14591.384297398046,6.635719250957597,84.00922760660532,2.639613592227732,3.506079243512908,2.058355601662784
426561,2020-02-15 03:17:11,IPA,Cans,Malleswaram,18,22.86687953493064,5.219161380029628,1.0677683798636035,4.885281246016588,31,11,1:0.37:0.28,4553,17945.961617903846,8.652757044740023,79.91322016100837,4.028367351638791,3.802833200326218,3.8372115499021135
6012344,2020-02-03 16:51:11,Stout,Kegs,Jayanagar,13,15.952243501796996,5.113159586225039,1.0587907934355438,5.277395443896011,38,19,1:0.43:0.15,4519,9655.571835269146,7.937388304520792,76.65730172851947,1.810657373744076,3.333001557772902,3.5771948473914126
9672898,2020-01-31 13:41:38,Ale,Pints,Indiranagar,17,18.767173046232536,4.984819719747318,1.0661031930503009,5.373428673111599,52,17,1:0.36:0.28,1439,8643.163699999242,6.799051674880963,89.31636212916224,2.4785103102057326,2.089090841697554,1.2629061773878791
8351837,2020-01-16 01:16:38,Pilsner,Bottles,Rajajinagar,17,23.431736486256924,5.18423337149045,1.0733247796541778,5.066785703531666,22,19,1:0.43:0.27,2432,6506.882309691534,7.199720505557542,78.53801933778222,1.1168509525823571,3.353578321940718,4.06933995693311
1768416,2020-03-02 08:41:12,Wheat Beer,Bottles,Electronic City,16,18.53262349261934,5.153629025756081,1.0506671707691115,5.767992401472528,40,13,1:0.31:0.18,1508,13678.57257139632,8.968972802071178,78.65958438463713,1.6867102144640045,4.366251707865247,1.15583617624789
3006839,2020-01-12 22:04:36,Pilsner,Kegs,Marathahalli,10,19.600126816865394,5.44485520807186,1.056226531279847,5.129747516461412,54,13,1:0.41:0.22,4134,15383.449016007571,6.843066261238164,80.17677333713225,3.2411570916514205,2.35106363998493,3.0976800406605087
5625744,2020-02-10 02:55:09,Pilsner,Pints,Marathahalli,15,17.276868619210926,5.323536475857505,1.0456738276117206,5.853307793479499,21,14,1:0.39:0.26,1481,7479.911555749489,6.316844070513471,83.86927700844534,3.2687351116493604,1.2016608296335844,1.1141396604431413
6177771,2020-01-20 13:12:44,Sour,Bottles,Malleswaram,10,15.063930038395132,4.603785530818064,1.0447668563934596,5.660822980018406,28,15,1:0.29:0.11,4065,7469.880348641256,8.330280854580629,86.88911685874035,1.7975128375878833,1.352145224970997,1.0761912043495585
3963770,2020-02-03 16:16:03,Stout,Cans,Yelahanka,10,23.214971940020185,5.368737076646383,1.0756786197587398,5.076049470742945,32,19,1:0.47:0.27,1604,4059.19933562456,9.332314125120554,78.55081675331705,3.552396308711422,2.8905673122762403,3.395339078904366
8688204,2020-02-14 15:45:25,Sour,Kegs,Jayanagar,10,23.151686121963134,4.5925520150965005,1.0526797860167942,4.781484502049597,42,6,1:0.29:0.24,1090,12697.191078884582,6.19821249202959,74.58182913921044,1.318355174690541,2.5232960128617443,3.137329217725065
4177641,2020-01-29 10:19:04,IPA,Pints,Koramangala,12,24.24123209375015,4.924212487582485,1.0769122539772875,4.932105037746279,56,10,1:0.41:0.24,4946,16685.259014920317,9.93071798078493,74.33433726451048,4.6878735872920245,1.9166941289701271,2.6297769757391425
1041477,2020-01-26 09:20:46,Sour,Bottles,HSR Layout,11,16.47991923604188,4.862928853300921,1.0351165450368345,4.8548109843596965,40,17,1:0.22:0.18,4435,12392.836484521198,7.403188671598665,72.21975309067564,4.492894808506472,4.896820903862203,3.672693909824806
4433903,2020-01-12 02:26:51,Lager,Cans,Koramangala,14,17.581160173103207,5.458620019020238,1.037344818770808,5.209781672458965,32,18,1:0.49:0.12,4726,17546.836820976907,9.472096089111478,83.47629675483012,2.4775994061890403,2.750854140070005,4.527001988952701
