hosts_time_as_user_months,hosts_time_as_host_months,host_listings_count,neighbourhood_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,estimated_occupancy_l365d,review_scores_rating,calculated_host_listings_count,vacancia_dias,faixa_preco,faixa_reviews,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Other,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in home,property_type_Private room in rental unit,property_type_Room in hotel,numero_amenities,log_price
5.0,0.0,1.0,Other,-22.97561053376064,-43.284655207495575,2,1.0,1.0,1.0,219.11,1.0,365.0,365,0,0,4.92,1,365,"(200, 400]","(-1, 0]",False,True,False,False,False,False,False,False,False,False,True,False,False,5,5.394127421394012
4.0,5.0,27.0,Barra da Tijuca,-23.009318541188463,-43.32802640684895,2,1.0,1.0,2.0,704.0,3.0,28.0,5,0,0,4.92,19,365,"(600, 900]","(-1, 0]",False,False,False,False,False,True,False,False,False,False,False,False,False,7,6.558197802812269
2.0,11.0,1.0,Copacabana,-22.96339,-43.17379,3,1.0,1.0,2.0,354.0,2.0,365.0,180,14,84,4.93,1,281,"(200, 400]","(5, 20]",False,False,False,False,False,True,False,False,False,False,False,False,False,5,5.872117789475416
1.0,5.0,11.0,Leme,-22.96033895819573,-43.168938759339895,2,1.0,1.0,1.0,154.52,1.0,365.0,365,0,0,4.92,11,365,"(0, 200]","(-1, 0]",False,True,False,False,False,False,False,False,False,False,True,False,False,4,5.046774340712129
8.0,8.0,72.0,Ipanema,-22.98495,-43.19484,2,1.0,1.0,1.0,785.5,2.0,1125.0,351,0,0,4.92,69,365,"(600, 900]","(-1, 0]",False,False,False,False,False,True,False,False,False,False,False,False,False,6,6.667592722498332
11.0,11.0,1.0,Jacarepaguá,-22.97342,-43.35709,4,2.0,2.0,3.0,1712.0,2.0,10.0,358,0,0,4.92,1,365,"(1500, 3000]","(-1, 0]",False,False,False,False,False,True,False,False,False,False,False,False,False,0,7.44600149832412
1.0,8.0,1.0,Other,-22.91448126488705,-43.37782867849008,1,1.0,1.0,1.0,136.94,1.0,365.0,365,0,0,4.92,1,365,"(0, 200]","(-1, 0]",False,True,False,False,False,False,False,False,False,False,False,True,False,5,4.926818808003145
2.0,2.0,73.0,Copacabana,-22.963473011616404,-43.17828031407265,2,1.0,1.0,1.0,434.79,4.0,365.0,333,0,0,4.92,72,365,"(400, 600]","(-1, 0]",False,False,False,False,False,True,False,False,False,False,False,False,False,4,6.0771604759416045
7.0,0.0,169.0,Recreio dos Bandeirantes,-22.99963,-43.43438,5,2.0,2.0,6.0,1000.0,1.0,365.0,364,0,0,4.92,169,365,"(900, 1500]","(-1, 0]",False,False,False,False,False,True,False,False,False,False,False,False,False,6,6.90875477931522
4.0,6.0,2.0,Flamengo,-22.928603903781685,-43.17496027095727,4,1.0,1.0,1.0,457.0,1.0,365.0,269,0,0,4.92,2,365,"(400, 600]","(-1, 0]",False,False,False,False,False,True,False,False,False,False,False,False,False,4,6.126869184114185
5.0,5.0,2.0,Centro,-22.91284,-43.186,4,1.0,1.0,1.0,913.0,1.0,365.0,177,0,0,4.92,1,365,"(900, 1500]","(-1, 0]",False,False,False,False,False,True,False,False,False,False,False,False,False,6,6.81783057145415
7.0,0.0,169.0,Jacarepaguá,-22.97159331626305,-43.38758543876733,4,2.0,2.0,3.0,1110.0,1.0,365.0,364,0,0,4.92,169,365,"(900, 1500]","(-1, 0]",False,False,False,False,False,True,False,False,False,False,False,False,False,6,7.01301578963963
11.0,11.0,3.0,Copacabana,-22.967136258527244,-43.17795551447232,2,0.5,1.0,2.0,400.0,1.0,365.0,310,19,24,5.0,3,341,"(200, 400]","(5, 20]",False,True,False,False,False,False,False,False,False,False,False,True,False,4,5.993961427306569
